,id,Artist(s),Title,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,BMP,Time_Signature,Valence
47,4NfjZe19Gsnm4pto3oJ8zb,Betty Who,RUNNING UP THAT HILL,0.121,0.707,199841,0.69,9.73e-05,9,0.103,-7.419,0,0.0682,112.011,4,0.712
48,7IcdktV2A60dCm8nQpm6JN,Becky Hill,Forever Young,0.915,0.338,178284,0.276,0.0,8,0.107,-7.246,0,0.0402,190.773,3,0.427
49,2xKy8HbpMFgHV2xZhpQf12,Conor Maynard,You Broke Me First,0.852,0.397,160942,0.274,0.0,2,0.108,-7.475,1,0.0315,113.013,4,0.2
50,7rLokcIMP9p8fl0iROdVfC,Alicia Keys,ocean eyes - Recorded Live at Jungle City Studios,0.934,0.353,184548,0.148,0.0,7,0.112,-13.108,1,0.0421,88.203,5,0.297
51,4FCNizKAqQ0JDx9ZWDEt1Z,Kacey Musgraves,Can't Help Falling in Love,0.951,0.317,168266,0.15,9.28e-05,9,0.113,-17.433,1,0.0323,45.306,3,0.228
52,7wIYDzWW82O6Rc4vGuzjND,Dua Lipa,"I'm Not the Only One - Live from Spotify, London",0.861,0.455,195840,0.265,0.0,5,0.685,-8.468,1,0.0491,176.036,4,0.324
53,6vQCNDNbA0DQoSPftbzS1W,Lennon Stella,Time After Time - Spotify Singles,0.514,0.647,219648,0.4,0.000719,0,0.0846,-9.449,1,0.0292,127.989,4,0.417
54,2JtSnwYNKOphDrshYL8n4p,Alessia Cara,I'm Like A Bird - Recorded at Spotify Studios NYC,0.238,0.524,219960,0.639,0.0,10,0.0598,-7.18,1,0.103,87.998,4,0.582
55,6NX2uPsnjyEVaHo3x3GSSR,Ethel Cain,Everytime - Spotify Singles,0.345,0.453,234753,0.351,0.0,0,0.131,-10.066,1,0.0258,94.918,4,0.163
56,0UV2btQxu47HidfjAaM6f8,Mallrat,Fade into You,0.0329,0.311,252596,0.326,0.00288,9,0.0987,-10.79,1,0.0318,156.702,3,0.23
57,7cpCU3Denug5NGZsSpQl8v,John Mayer,XO,0.749,0.431,213626,0.377,0.0,2,0.211,-9.753,1,0.0288,173.67,4,0.353
58,6wK4hGSu7eoabTibpljwHh,EZI,Take My Breath Away,0.0741,0.718,158446,0.616,0.00287,8,0.367,-6.598,1,0.0901,102.981,4,0.354
59,0830WmzxBqOp9C93j8m9sN,LANY,Sign Of The Times - Spotify Studios NYC,0.0472,0.619,319750,0.394,0.02,5,0.1,-9.747,1,0.0444,124.0,4,0.123
60,5dsk3uLRghh1WmuN21LEW8,Benjamin Ingrosso,All Night Long (All Night) - Recorded at Spotify Studios Stockholm,0.0111,0.648,188166,0.719,0.000201,8,0.117,-7.101,0,0.0502,112.049,4,0.716
61,73dLCr0dOQ9hORkFfvJjoK,Adam Lambert,Ordinary World,0.797,0.233,200171,0.406,0.0,2,0.107,-6.803,0,0.0323,88.097,5,0.0692
62,20AJoXd1SjRLmoyCNFjAKm,Amanda Jackson Band,Don't Dream It's Over,0.738,0.711,263800,0.195,0.0,2,0.0893,-13.206,1,0.037,129.941,4,0.191
63,4blEH2R5HZHTsZapNlvApV,Patrick Droney,Wrecking Ball,0.162,0.585,213706,0.654,0.0152,11,0.0888,-6.255,1,0.0354,121.026,4,0.305
