Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4JwxJm8zCPbc1DMcfVdbBl,"0nmQIMXWTXfhgOBdNzhGOs","Wish You Were Here","The Stage (Deluxe Edition)","Avenged Sevenfold",2017-12-22,313918,52,spotify:user:,1970-01-01T00:00:00Z,"alternative metal",0.572,0.567,7,-8.432,1,0.0298,0.00177,0.00793,0.0689,0.29,130.018,4
4WNtqQQ7K1Ys30l2JtKHDy,"6jddkwDLW1TOlqdjfK4ywk","Boyz-n-the Hood","Superfast","Dynamite Hack",2000-05-23,184490,49,spotify:user:,1970-01-01T00:00:00Z,"",0.683,0.453,9,-7.084,1,0.0443,0.448,0.000283,0.284,0.378,81.477,4
1xWvxnvzq4c5BVOZOqcmvd,"7guDJrEfX3qb6FEbdPA5qi","We Can Work It Out","Signed Sealed And Delivered","Stevie Wonder",1970-08-07,200440,54,spotify:user:,1970-01-01T00:00:00Z,"motown,soul",0.619,0.574,8,-9.775,1,0.0328,0.0805,0,0.0948,0.766,105.35,4
1kq4BX4zZHyr4O5cJGcduh,"3qm84nBOXUEQ2vnTfUTTFC","Hair Of The Dog","The Spaghetti Incident?","Guns N' Roses",1993-11-23,234906,46,spotify:user:,1970-01-01T00:00:00Z,"glam metal,hard rock,rock",0.517,0.97,8,-2.932,1,0.0853,0.00559,0.0343,0.0581,0.601,134.336,4
0u6lRvvxbrAYEdkUFKmHp6,"6GI52t8N5F02MxU0g5U69P,0XHiH53dHrvbwfjYM7en7I","Whole Lotta Love (feat. Chris Cornell)","Guitar Heaven: The Greatest Guitar Classics Of All Time (Deluxe Version)","Santana,Chris Cornell",2010-09-20,231360,50,spotify:user:,1970-01-01T00:00:00Z,"blues rock,classic rock,mexican classic rock,alternative metal,alternative rock,grunge,hard rock,post-grunge,rock",0.406,0.988,9,-2.72,1,0.0926,0.0437,0.0637,0.0664,0.24,100.038,4
6Um3XCAxl9YfFmAnGl93xc,"5XoM6cP8fQykllfuK5V5TR","I Fought the Law - Single Version","Never To Be Forgotten - The Mustang Years","The Bobby Fuller Four",1998,138360,55,spotify:user:,1970-01-01T00:00:00Z,"bubblegum pop,classic garage rock,surf music",0.593,0.804,7,-5.497,1,0.0319,0.105,0.00000222,0.047,0.962,148.959,4
4bUbgl5yiMEfGFy8CQNnXB,"70BYFdaZbEKbeauJ670ysI","How Did You Love - Acoustic","How Did You Love","Shinedown",2017-01-13,185955,44,spotify:user:,1970-01-01T00:00:00Z,"alternative metal,nu metal,post-grunge",0.52,0.457,2,-7.877,0,0.0364,0.137,0,0.102,0.61,185.945,4
4lEIXpVeT8I0NuBs2SgtEY,"0543y7yrvny4KymoaneT4W","While My Guitar Gently Weeps","Now","Peter Frampton",2003-08-26,414760,43,spotify:user:,1970-01-01T00:00:00Z,"album rock,british blues,classic rock,country rock,folk rock,hard rock,mellow gold,rock,singer-songwriter,soft rock,southern rock",0.425,0.726,7,-5.438,1,0.0386,0.0418,0.0157,0.27,0.315,113.085,4
6U63nKrxHvM76KOa6kpyfq,"2tRsMl4eGxwoNabM08Dm4I","The Green Manalishi (With the Two Pronged Crown)","Killing Machine","Judas Priest",1979,202626,44,spotify:user:,1970-01-01T00:00:00Z,"album rock,alternative metal,birmingham metal,glam metal,hard rock,metal,rock",0.554,0.79,9,-7.126,1,0.0695,0.000738,0.00401,0.342,0.598,124.336,4
1YxE1cKYJztCvSfpPYS85G,"3jTlKw98Ql1jGRPYqhqHap","Electric Avenue","Shark Bites and Dog Fights","Skindred",2009,190853,44,spotify:user:,1970-01-01T00:00:00Z,"nu metal,rap metal,reggae fusion,welsh metal,welsh rock",0.654,0.947,2,-4.788,1,0.0761,0.0059,0,0.0851,0.931,129.862,4
2aoo2jlRnM3A0NyLQqMN2f,"776Uo845nYHJpNaStv1Ds4","All Along the Watchtower","Electric Ladyland","Jimi Hendrix",1968-10-25,240800,74,spotify:user:,1970-01-01T00:00:00Z,"acid rock,album rock,alternative rock,classic rock,hard rock,proto-metal,psychedelic rock,rock",0.438,0.805,8,-6.237,1,0.0624,0.00255,0.0000569,0.0842,0.564,113.253,4
